,t,r,c,rd
0,MINNESOTA ROKKR,1836.8294686161933,7,250.49849479684602
1,LONDON ROYAL RAVENS,1662.2120026057648,5,290.2305060910912
2,PARIS LEGION,1662.2120026057648,7,290.2305060910912
3,TORONTO ULTRA,1606.2797523624558,8,246.67373037808795
4,OPTIC GAMING LOS ANGELES,1578.6860876317817,1,290.29449804092616
5,FLORIDA MUTINEERS,1484.8735639622491,-2,264.02071730665887
6,NEW YORK SUBLINERS,1402.6286101973064,2,263.07068946471014
7,DALLAS EMPIRE,1337.7879973942352,-5,290.2305060910912
8,LOS ANGELES GUERRILLAS,1337.7879973942352,-4,290.2305060910912
9,SEATTLE SURGE,1337.7879973942352,1,290.2305060910912
10,CHICAGO HUNTSMEN,1321.8107887767233,-9,274.05987467637567
11,ATLANTA FAZE,1243.5566576094493,-11,245.4725966122823
